Name,Address,Phone
Metafitnosis Personal Training Gym,"Plot No. 17, above HBL, F-6 Markaz, Islamabad",+92-300-8555628
Murtaza Health Gym,"AI-LI, 1st Floor, & AI-L3, 3rd Floor, Al -Burhan Circle, Near Barkat-e-Hyderi Bus Stop, North Nazimabad, Karachi",+92-300-2175637
Rado Gym,"R-96, 15-A/4, Buffer Zone, Karachi, North Karachi, Pakistan",+92-345-2833004
Shapeup Gym,"1st Floor, B-43, Main University Road, Faris Complex Opposite My Bank, Block 13-B, Gulshan-e-Iqbal, Karachi",+92-21-34819199
Shumaila's Beauty Salon & Gym,"Block-6, R-3 Banglow, Gulshan-e-Iqbal, Karachi",+92-21-34815021
Tariq Sports & Body Matters Gym,"Office No.A-A/1, UK Apartments, Phase-2, Block-14, Gulshan-e-Iqbal, Karachi-Pakistan",+92-331-2255527
Aashiana Hotel,"Abbottabad Road, Uppar Channai, Mansehra.",+92-997-303685
Acacia Country & Golf Club,"434/435 Jinnah Avenue, Malir Cantonment, Karachi.",+92-21-34198906
Adrenaline Fitness Centre,"8C, Badar Commercial Area, Street No 11, Behind KFC, 26th Street, Phase V, DHA, Karachi",+92-21-35850962
Agha Sports,"Light House Centre, M.A. Jinnah Road, Karachi.",+92-21-32735378
Atmosphere Fitness (Pvt) Ltd.,"Al Nadi Al Burhani Academy, Old Queens Road, Karachi.",+92-21-32400201
Ayesha Liang's Signature Salon,"239-B, Block# 2, PECHS, Karachi, Pakistan",+92-21-34554084
Beach Luxury Hotel Karachi,"Moulvi Tamizuddin Khan Road, Lalazar, Karachi.",+92-21-111254111
Beauty Spot,"House No. 357, Block-F, 6th Road, Near National CNG, Satellite Town, Rawalpindi.",+92-51-4411268
Best Western Faisalabad Hotel,"23-G, Regency International, 949 The Mall Road, Faisalabad.",+92-320-2647000
Bilal Brothers,"119-A, Mustafa Arcade Show Room, SMCHS, Karachi.",+92-21-34531961
Breshna Brothers,"Shop No. 10, Abdullah Haroon road, Saddar, Karachi.",+92-21-32729638
Cadet College Hasan Abdal,"G.T Road, Hasan Abdal, Attock.",+92-57-2520200
City Sports Complex [formerly KMC Sports Complex],"Kashmir Road, Jamshed Quarters, Karachi",+92-333-2422445
Curls & Curves,"M-4, Mezaninez Floor, Yousuf Grand Square, Adj. Gulf Shopping Centre, Block 8, Clifton, Karachi.",+92-21-35873255
Curves Club Salon,"Lower Ground, Salam Heights, Opp. M Store, E-11/4, Islamabad.",+92-333-5685005
Cuts & Muscles,"D-43, , Mezzanine Floor, Block 8, National Square, Clifton, Karachi.",+92-300-8232062
Defence Authority Beach View Club,"Abdul Sattar Edhi Avenue, Darakhshan Villas, Phase VI, DHA, Karachi.",+92-21-35850635
Defence Authority Club,"Main Central Avenue, Phase II, DHA, Karachi.",+92-21-35803073
Defence Authority Creek Club,"3, Zulfiqar Street No.1, Phase VIII, DHA, Karachi.",+92-21-35841901
Defence Authority Sunset Club,"Main Khayaban-e-Jami, Phase II, DHA, Karachi.",+92-21-35388123
Devotion Rehab Center,"House No. 178, Near Street No. 6, Sir Syed Avenue, Phase-V, Gulraiz, Rawalpindi",+92-333-6001971
Divino Ladies Beauty Salon,"House No. 49, Street No. 5, E-11/4, Islamabad.",+92-51-2656500
Euro Slim,"Souk-Al-Hashir Plaza, F-10 Markaz, Islamabad.",+92-321-5153033
Executive Club,"Street No. 40, Sagheer Market, F-10/4, Islamabad.",+92-51-8434033
Farhana Fitness Studio,"Second Floor, 38-C, Main Saba Avenue, Badar Commercial, Phase V, DHA, Karachi.",+92-323-8790670
Female Fitness Club,"Basement, Ahmedal Plaza, I-10 Markaz, Islamabad.",+92-333-5162977
Fit & Flex,"1st Floor, Lord Trade Centre, Hilal Road, F-11 Markaz, Islamabad.",+92-51-2102755
Fitness Art,"C-770, Block No.2, PECHS, Tariq Road, Karachi",+92-21-34537553
Fitness Factory,"S/No. 3, Pl/No. 6-C, 4th Zamzama Commercial Lane, Ph-V, DHA, Khi.",+92-21-35878864
Fitness Innovation Studio,"11-C, Executive Corner, Main Khyaban-e-Saher, Phase-VII, DHA, Karachi.",+92-21-35240280
Gun & Country Club,"Pakistan Sports Complex, Kashmir Highway, Islamabad.",+92-51-8466532
Hilton Sports & Fitness Equipments,"M.A. Jinnah Road, Light House, Karachi.",+92-21-32018073
Hoor Beauty Parlor,"Shop no. 18, First Floor, Main Market, Inside N.O.R.E-1, Bahria Complex, M.T Khan Road, Karachi.",+92-336-2333728
Imperial Spa & Health Club,"Movenpick Hotel, Club Road, Civil Lines, Karachi.",+92-21-35633333
Infinity Salon,"Suite No. 4, First Floor, Bizzon Plaza, F-11 Markaz, Islamabad.",+92-336-5528053
International Slimming Clinic,"B-1, Clifton Garden 2, Near Bin Qasim park, Clifton Block-3, Karachi",+92-21-35292393
Jeena n Jiya's Beauty Salon,"Street 21-A, Chaklala Scheme III, Rawalpindi-Cantt.",+92-321-6498896
Karachi Gymkhana Club,"4 Club Road, Civil Lines, Karachi",+92-21-35689173
Le-Royal Guest House,"House No. 2, Street No. 57, F-8/4, Islamabad.",+92-300-0800556
Life Style,"A- 17/1, 2nd Floor, Khudadad Colony",+92-21-35484452
Meeting Matters Counselling Clinic,"House No. 31-B, Street 13, F-7/2, Islamabad.",+92-51-2609277
MH Taekwondo Martial Arts Club,"Suit No. 21, Second Floor, Bajwa Building, Drigh Road, Shah Faisal Colony, Karachi.",+92-333-2269997
